epoch,time_s,loss,acc,val_loss,val_acc
1,14.85093092918396,0.44255005842764716,0.8633148148148149,0.42330370833524605,0.8805
2,14.318781852722168,0.24146472537003397,0.9234074074074075,0.2329876531141422,0.9318333333333333
3,14.347106218338013,0.22079628534502363,0.9290185185185185,0.21500103146783278,0.9321666666666667
4,14.294100522994995,0.16800844213883898,0.9460740740740741,0.17648004404550913,0.9463333333333334
5,14.284179925918579,0.17116186059201105,0.9447777777777778,0.16818594327577666,0.948
6,14.19955039024353,0.14680768155716786,0.9520740740740741,0.14773960448609882,0.954
7,14.246370553970337,0.168854130097247,0.9479074074074074,0.1825124088324519,0.948
8,14.21765661239624,0.11990793349286724,0.9616666666666667,0.13243407605413252,0.961
9,14.212122678756714,0.14147039918371224,0.954574074074074,0.16003271935900307,0.9511666666666667
10,14.56135106086731,0.12631612914291587,0.959462962962963,0.1493773433937967,0.9533333333333334
11,14.675482749938965,0.12172378217925711,0.9604074074074074,0.14127725340549133,0.9565
12,14.54999566078186,0.12926830941651682,0.9581111111111111,0.14618735532637642,0.9575
13,14.555432796478271,0.1262501686373383,0.957925925925926,0.1418536686129433,0.9565
