timestamp,model,epochs,hidden_size,lr,batch_size,class,precision,recall,f1,support
2025-09-05 18:26:12,NN_v2,10,64,0.001,32,0,0.9837232960325524,0.98673469387755,0.9852266938354642,980
2025-09-05 18:26:12,NN_v2,10,64,0.001,32,1,0.9876868953386095,0.9894273127753296,0.9885563380276681,1135
2025-09-05 18:26:12,NN_v2,10,64,0.001,32,2,0.9673390970220933,0.9757751937984488,0.9715388326092435,1032
2025-09-05 18:26:12,NN_v2,10,64,0.001,32,3,0.9613526570048301,0.9851485148514841,0.9731051344738267,1010
2025-09-05 18:26:12,NN_v2,10,64,0.001,32,4,0.9764344262295072,0.9704684317718931,0.9734422880485286,982
2025-09-05 18:26:12,NN_v2,10,64,0.001,32,5,0.9807909604519762,0.9730941704035864,0.9769274057395102,892
2025-09-05 18:26:12,NN_v2,10,64,0.001,32,6,0.9701338825952616,0.9832985386221283,0.9766718506993435,958
2025-09-05 18:26:12,NN_v2,10,64,0.001,32,7,0.967898832684824,0.967898832684824,0.967898832684324,1028
2025-09-05 18:26:12,NN_v2,10,64,0.001,32,8,0.9789915966386544,0.9568788501026684,0.9678089304252518,974
2025-09-05 18:26:12,NN_v2,10,64,0.001,32,9,0.9818548387096764,0.9653121902874123,0.9735132433778099,1009
2025-09-05 18:26:31,NN_v2,30,64,0.001,32,0,0.9886128364389224,0.9744897959183664,0.9815005138741136,980
2025-09-05 18:26:31,NN_v2,30,64,0.001,32,1,0.9868305531167683,0.990308370044052,0.988566402813923,1135
2025-09-05 18:26:31,NN_v2,30,64,0.001,32,2,0.9709864603481616,0.9728682170542627,0.9719264278794605,1032
2025-09-05 18:26:31,NN_v2,30,64,0.001,32,3,0.976999999999999,0.9673267326732663,0.9721393034820859,1010
2025-09-05 18:26:31,NN_v2,30,64,0.001,32,4,0.9667673716012075,0.9775967413441945,0.9721518987336761,982
2025-09-05 18:26:31,NN_v2,30,64,0.001,32,5,0.954646017699114,0.967488789237667,0.9610244988859131,892
2025-09-05 18:26:31,NN_v2,30,64,0.001,32,6,0.9747899159663855,0.9686847599164916,0.9717277486905984,958
2025-09-05 18:26:31,NN_v2,30,64,0.001,32,7,0.9673704414587324,0.9805447470817112,0.97391304347776,1028
2025-09-05 18:26:31,NN_v2,30,64,0.001,32,8,0.9508525576730181,0.973305954825461,0.9619482496189815,974
2025-09-05 18:26:31,NN_v2,30,64,0.001,32,9,0.9794450154162374,0.9444995044598603,0.9616548940459169,1009
2025-09-05 18:26:50,NN_v2,50,64,0.001,32,0,0.97005988023952,0.9918367346938766,0.980827447022708,980
2025-09-05 18:26:50,NN_v2,50,64,0.001,32,1,0.9808362369337972,0.992070484581497,0.9864213753827669,1135
2025-09-05 18:26:50,NN_v2,50,64,0.001,32,2,0.9737609329446055,0.9709302325581387,0.9723435225613624,1032
2025-09-05 18:26:50,NN_v2,50,64,0.001,32,3,0.9691235059760946,0.9633663366336624,0.9662363455804325,1010
2025-09-05 18:26:50,NN_v2,50,64,0.001,32,4,0.9897013388259516,0.9786150712830947,0.984126984126483,982
2025-09-05 18:26:50,NN_v2,50,64,0.001,32,5,0.9772727272727262,0.9641255605381155,0.9706546275390022,892
2025-09-05 18:26:50,NN_v2,50,64,0.001,32,6,0.9770114942528725,0.97599164926931,0.9765013054825277,958
2025-09-05 18:26:50,NN_v2,50,64,0.001,32,7,0.965284474445515,0.9737354085603104,0.9694915254232279,1028
2025-09-05 18:26:50,NN_v2,50,64,0.001,32,8,0.9573604060913695,0.9681724845995883,0.9627360898412549,974
2025-09-05 18:26:50,NN_v2,50,64,0.001,32,9,0.9827760891590669,0.9613478691774024,0.9719438877750501,1009
2025-09-05 18:27:06,NN_v2,75,64,0.001,32,0,0.9766970618034437,0.9836734693877541,0.9801728520584719,980
2025-09-05 18:27:06,NN_v2,75,64,0.001,32,1,0.9825632083696592,0.9929515418502195,0.9877300613491925,1135
2025-09-05 18:27:06,NN_v2,75,64,0.001,32,2,0.9776482021379972,0.9748062015503868,0.9762251334298727,1032
2025-09-05 18:27:06,NN_v2,75,64,0.001,32,3,0.9731610337972157,0.9693069306930683,0.9712301587296577,1010
2025-09-05 18:27:06,NN_v2,75,64,0.001,32,4,0.971659919028339,0.9775967413441945,0.9746192893396004,982
2025-09-05 18:27:06,NN_v2,75,64,0.001,32,5,0.9730033745781766,0.9697309417040347,0.9713644020208352,892
2025-09-05 18:27:06,NN_v2,75,64,0.001,32,6,0.9760914760914751,0.9801670146137776,0.9781249999994989,958
2025-09-05 18:27:06,NN_v2,75,64,0.001,32,7,0.9616858237547884,0.9766536964980536,0.9691119691114682,1028
2025-09-05 18:27:06,NN_v2,75,64,0.001,32,8,0.9811518324607319,0.9620123203285411,0.9714878175215311,974
2025-09-05 18:27:06,NN_v2,75,64,0.001,32,9,0.9707955689828791,0.9554013875123876,0.9630369630364621,1009
2025-09-05 18:27:13,NN_v2,10,64,0.001,64,0,0.9768378650553867,0.9897959183673459,0.9832742017227629,980
2025-09-05 18:27:13,NN_v2,10,64,0.001,64,1,0.9902826855123666,0.9876651982378847,0.9889722099686213,1135
2025-09-05 18:27:13,NN_v2,10,64,0.001,64,2,0.9784524975514192,0.9680232558139527,0.9732099366775312,1032
2025-09-05 18:27:13,NN_v2,10,64,0.001,64,3,0.984787018255577,0.9613861386138605,0.9729458917830662,1010
2025-09-05 18:27:13,NN_v2,10,64,0.001,64,4,0.9814241486068102,0.9684317718940927,0.9748846745253831,982
