timestamp,model,epochs,hidden_size,lr,batch_size,val_loss_last,val_acc_last,test_accuracy,macro_f1,macro_precision,macro_recall
2025-09-05 18:26:12,NN_v2,10,64,0.001,32,0.1066334643499892,0.9693333333333334,0.9756,0.975468954992097,0.9756206482707984,0.9754036729175324
2025-09-05 18:26:31,NN_v2,30,64,0.001,32,0.13839165766546063,0.9691666666666666,0.972,0.971655298150243,0.9717301169718546,0.9717113612555334
2025-09-05 18:26:50,NN_v2,50,64,0.001,32,0.12158108477496853,0.9696666666666667,0.9743,0.9741283110734814,0.9743187086141519,0.9740191831894995
2025-09-05 18:27:06,NN_v2,75,64,0.001,32,0.12555658857754906,0.9706666666666667,0.9745,0.9743103646596591,0.9744457501004706,0.9742300245482417
2025-09-05 18:27:13,NN_v2,10,64,0.001,64,0.10011468544068386,0.9693333333333334,0.9748,0.9745582174802788,0.9745231427476113,0.9746787443014006
2025-09-05 18:27:27,NN_v2,30,64,0.001,64,0.11967507144364921,0.973,0.9743,0.9740812488677273,0.9741204319187522,0.9741155711302036
2025-09-05 18:27:42,NN_v2,50,64,0.001,64,0.10909950159749676,0.9718333333333333,0.9746,0.9744591555037854,0.974468696424591,0.974542779769901
2025-09-05 18:27:58,NN_v2,75,64,0.001,64,0.12783300012701823,0.9685,0.9749,0.9745867599374867,0.9746824037162819,0.9745554400976222
2025-09-05 18:28:03,NN_v2,10,64,0.001,128,0.10262842228575389,0.9686666666666667,0.9707,0.9704305045432063,0.970441498908501,0.9705056101447396
2025-09-05 18:28:16,NN_v2,30,64,0.001,128,0.11408953207853953,0.9693333333333334,0.976,0.9758134814615544,0.9759367449215249,0.9757409621720573
2025-09-05 18:28:29,NN_v2,50,64,0.001,128,0.11774564232643225,0.9695,0.9734,0.9732165668556074,0.9732599045738655,0.9732288370885641
2025-09-05 18:28:45,NN_v2,75,64,0.001,128,0.11954721810000975,0.9701666666666666,0.9742,0.9739867807406443,0.9741829376883177,0.9738641967275538
2025-09-05 18:28:58,NN_v2,10,64,0.0005,32,0.1006690826771862,0.9693333333333334,0.9723,0.9721621764386678,0.9721974568488922,0.9722047629478181
2025-09-05 18:29:22,NN_v2,30,64,0.0005,32,0.12049218247033439,0.9683333333333334,0.972,0.9717055968799949,0.9718369326029863,0.9716784876405093
2025-09-05 18:29:47,NN_v2,50,64,0.0005,32,0.12241805136056146,0.9676666666666667,0.9741,0.9738800241572493,0.9740372600307532,0.9737813961821683
2025-09-05 18:30:11,NN_v2,75,64,0.0005,32,0.10624843913894694,0.9713333333333334,0.9749,0.9747114154760503,0.9748329219959505,0.9746485378217382
2025-09-05 18:30:18,NN_v2,10,64,0.0005,64,0.10986063343235869,0.9666666666666667,0.9708,0.970567282709451,0.970568410176518,0.9705760151812022
2025-09-05 18:30:38,NN_v2,30,64,0.0005,64,0.10284160502851332,0.97,0.9738,0.9736638280344205,0.9737723322821894,0.9735790247615412
2025-09-05 18:30:57,NN_v2,50,64,0.0005,64,0.10951545046178461,0.9693333333333334,0.9756,0.9754083166412426,0.9754765855299464,0.9753891938611601
2025-09-05 18:31:19,NN_v2,75,64,0.0005,64,0.11757729230506174,0.9678333333333333,0.9751,0.9749143254831095,0.9750857778414425,0.9748013546097649
2025-09-05 18:31:25,NN_v2,10,64,0.0005,128,0.13061275536247235,0.9615,0.9662,0.9659985439520822,0.9662630890041817,0.965890266296175
2025-09-05 18:31:41,NN_v2,30,64,0.0005,128,0.09612017544984769,0.9716666666666667,0.9755,0.9753861026575061,0.9755836983655867,0.9752875702488145
2025-09-05 18:31:58,NN_v2,50,64,0.0005,128,0.10662467149944935,0.9678333333333333,0.9737,0.973528954261411,0.9736477854107124,0.9734498313481863
2025-09-05 18:32:16,NN_v2,75,64,0.0005,128,0.11312788695695124,0.9678333333333333,0.972,0.9717468301217786,0.9719708817453043,0.9716006483334235
2025-09-05 18:32:27,NN_v2,10,64,0.0001,32,0.1813585328873475,0.9481666666666667,0.9521,0.9516413062964117,0.9518140700764708,0.9515797679584885
2025-09-05 18:32:59,NN_v2,30,64,0.0001,32,0.12055419034409222,0.9633333333333334,0.9692,0.9689478344818985,0.969227145762513,0.9687448291877605
2025-09-05 18:33:54,NN_v2,50,64,0.0001,32,0.1052876427273291,0.9685,0.9752,0.9750400881613229,0.975179559203674,0.9749543717523217
2025-09-05 18:35:01,NN_v2,75,64,0.0001,32,0.10025332948749972,0.9696666666666667,0.9742,0.974019621335807,0.974150382445757,0.973928332805855
2025-09-05 18:35:08,NN_v2,10,64,0.0001,64,0.20916644028475748,0.9406666666666667,0.9451,0.9443882553714218,0.944560987704975,0.9443588532146991
2025-09-05 18:35:28,NN_v2,30,64,0.0001,64,0.13081482367582797,0.9595,0.9669,0.9666208741179266,0.9669028109191687,0.9664594339238672
2025-09-05 18:36:00,NN_v2,50,64,0.0001,64,0.11349959982762882,0.9648333333333333,0.9705,0.9701736222723104,0.9705238224746946,0.9699924071702222
2025-09-05 18:36:48,NN_v2,75,64,0.0001,64,0.10483287046965906,0.9693333333333334,0.9735,0.973312201812815,0.9733665428580464,0.9732858221818892
2025-09-05 18:36:54,NN_v2,10,64,0.0001,128,0.2417310395118399,0.9353333333333333,0.9375,0.9367537565102632,0.9369420779245916,0.9367271897136833
2025-09-05 18:37:09,NN_v2,30,64,0.0001,128,0.16103003543182745,0.953,0.9595,0.95916661988159,0.9592294862892803,0.9591815924514353
2025-09-05 18:37:34,NN_v2,50,64,0.0001,128,0.12092918385616487,0.9641666666666666,0.9677,0.9674255015561624,0.9676232412234442,0.9672806756913361
