epoch,time_s,loss,acc,val_loss,val_acc
1,6.080482244491577,0.6246326702493269,0.7904444444444444,0.5868481209067007,0.818
2,6.008930921554565,0.380151489378586,0.8855555555555555,0.3869372859814465,0.894
3,6.03767204284668,0.34499863700929034,0.8957777777777778,0.37834738443450094,0.9
4,6.0910844802856445,0.2936819734235476,0.9117777777777778,0.3127231153315667,0.892
5,6.135218143463135,0.24191502984663643,0.9266666666666666,0.2942690799188406,0.918
6,6.066931962966919,0.19033693754624542,0.9448888888888889,0.25464583827232307,0.926
7,6.320911407470703,0.18816975311455347,0.944,0.26193581685459494,0.92
8,6.351072549819946,0.2626043414669927,0.9111111111111111,0.36169389172236033,0.886
9,6.278907537460327,0.16895682087738537,0.9473333333333334,0.2578843650977718,0.906
10,6.039143323898315,0.16048412557035027,0.9455555555555556,0.267081381517409,0.918
