epoch,time_s,loss,acc,val_loss,val_acc
1,21.731958866119385,0.06186951719096911,0.9808518518518519,0.07787668608659272,0.9768333333333333
2,21.658188104629517,0.05139908421640082,0.9840555555555556,0.0762369456364153,0.9805
3,21.660122632980347,0.05160033414905769,0.9838518518518519,0.08142017418465045,0.9786666666666667
4,21.494452476501465,0.0483786040153148,0.9859259259259259,0.07523650672214555,0.9816666666666667
5,22.23557710647583,0.04115265014521437,0.987537037037037,0.07827843451153262,0.9815
6,22.639123916625977,0.02842631782654103,0.9912962962962963,0.0673232019233156,0.985
7,22.558051824569702,0.030017227664170112,0.9912222222222222,0.06481937637119362,0.9831666666666666
8,22.71787405014038,0.09290940040589925,0.9790925925925926,0.12495440844229334,0.9748333333333333
9,21.911624431610107,0.026870322727188957,0.9918333333333333,0.06307428538863878,0.9843333333333333
10,21.71994686126709,0.034744985992655894,0.9902962962962963,0.07147158418667206,0.9815
11,21.57252550125122,0.02838018409288322,0.9918518518518519,0.0762878511588756,0.9825
12,21.720314979553223,0.03520996272635936,0.9909259259259259,0.0827222313980855,0.982
13,21.621944427490234,0.024841595565512034,0.9934259259259259,0.07306808272069833,0.985
14,21.420928716659546,0.024666048799887836,0.9938703703703704,0.08570210877346396,0.9841666666666666
