epoch,train_loss,val_loss,val_acc
0,0.5762037883575216,0.32743657642710033,0.9098333333333334
1,0.2770419021973438,0.25514822415531163,0.9281666666666667
2,0.22509272298172076,0.21831782281062279,0.9368333333333333
3,0.19073381257725305,0.19996311406002992,0.943
4,0.16656201254148723,0.18112179725643895,0.945
5,0.1473937456469829,0.17019688432745644,0.9483333333333334
6,0.1335516128481832,0.15707961174717047,0.9516666666666667
7,0.12076443410469656,0.15096543947967273,0.9555
8,0.11033313817486408,0.14323768821782745,0.9568333333333333
9,0.10124649842309438,0.13667920851768942,0.9588333333333333
10,0.09309441997500106,0.1320255532459472,0.9596666666666667
11,0.08688247535102063,0.12578266801603244,0.9613333333333334
12,0.08074294028427617,0.12518753656395032,0.9623333333333334
13,0.07586593603093032,0.12160873058852377,0.9615
14,0.07062588231406487,0.12028586750968179,0.9628333333333333
15,0.06650930381073064,0.1162077477279473,0.9638333333333333
16,0.06236468977808062,0.11375698407800182,0.9646666666666667
17,0.05849924418023362,0.11338507431503962,0.9655
18,0.05518427530870027,0.11757746950986761,0.9621666666666666
19,0.051927305243065734,0.11002152688190561,0.9658333333333333
20,0.04925800462766935,0.11111179618447009,0.966
21,0.04637604253689918,0.10942652485917154,0.9668333333333333
22,0.04403364780189863,0.11257153893790445,0.9645
23,0.04152383264368363,0.1078546298400737,0.9676666666666667
24,0.03944077540246306,0.1079689248051588,0.9666666666666667
25,0.03696914191087296,0.10965343987061056,0.9655
26,0.03496293620288127,0.10751832061294675,0.9655
27,0.0332479501781494,0.10821888789037157,0.9668333333333333
28,0.0316254610471109,0.10933654606177337,0.9673333333333334
29,0.02997046665618196,0.1087323808391106,0.967
30,0.028128643846914235,0.10914206566746479,0.9676666666666667
31,0.026551006165615367,0.11101201550395283,0.967
32,0.025277305352003513,0.1118297913011229,0.967
33,0.024051272315794757,0.11068530682136954,0.9678333333333333
34,0.022616081623957306,0.11273138855814979,0.9681666666666666
35,0.021520063148232668,0.11440970841236023,0.967
36,0.020085523725313054,0.11312788695695124,0.9678333333333333
