epoch,train_loss,val_loss,val_acc
0,1.0416507977497635,0.5361191464180529,0.872
1,0.4239782911396452,0.3782320670165437,0.9005
2,0.3317092792530727,0.3203081726649803,0.913
3,0.28858217726108704,0.287254046038699,0.922
4,0.2602750929194858,0.26347079419486197,0.9253333333333333
5,0.2387531730642821,0.2444191301832808,0.9331666666666667
6,0.2216761253199995,0.23082533551935733,0.9346666666666666
7,0.20724071400898147,0.21843944102820456,0.9385
8,0.1948784901571794,0.2085454738175547,0.9405
9,0.18406607398111732,0.20011981308585305,0.943
10,0.17453576009007002,0.1912071493750041,0.9466666666666667
11,0.16579536163648673,0.18549138756860692,0.9451666666666667
12,0.1578803402168245,0.17830018895076985,0.9485
13,0.15058146642773154,0.17170600903007047,0.9498333333333333
14,0.1438730276045364,0.1666723637811603,0.952
15,0.13771250851506248,0.16198254398502637,0.952
16,0.13192254696130165,0.15787124632642577,0.9535
17,0.1268360126413093,0.15309212357261842,0.9538333333333333
18,0.12162286029849245,0.1491663864373128,0.9553333333333334
19,0.11712631922427016,0.14529834870931627,0.9561666666666667
20,0.11249392979628603,0.14236557227274368,0.957
21,0.10872351130840135,0.13894440307567357,0.958
22,0.10477980149053177,0.1360930515090595,0.9578333333333333
23,0.10104327002039623,0.13396180667086383,0.9586666666666667
24,0.09764971118654553,0.1299944112366607,0.9601666666666666
25,0.09431824913694074,0.12836728847981418,0.9603333333333334
26,0.09126637233495026,0.12669215342557016,0.9598333333333333
27,0.08813956833229564,0.12376119560854462,0.9616666666666667
28,0.08519805240710951,0.12205437869660286,0.9616666666666667
29,0.08257341166930686,0.1191211415808754,0.9626666666666667
30,0.08009381424433583,0.11940374977231355,0.9625
31,0.07755088251490005,0.11626327879725405,0.964
32,0.07531166976346103,0.11604031854116868,0.9643333333333334
33,0.07290094463022097,0.11310449932410067,0.9651666666666666
34,0.07087003597554915,0.11160997554177977,0.965
35,0.06849647490368384,0.10997518314672228,0.9661666666666666
36,0.06662805630007608,0.10919716155024707,0.9663333333333334
37,0.0648200954962635,0.10782769504653049,0.967
38,0.06280532222789938,0.10836417726561436,0.967
39,0.06115092361985346,0.10577965896812988,0.9685
40,0.05935892849847388,0.10505517838424705,0.9693333333333334
41,0.057615397856029066,0.10490358498362409,0.9673333333333334
42,0.056004910203567196,0.10388512274732897,0.9685
43,0.054529984234794576,0.10217889340541843,0.9698333333333333
44,0.053040777210898594,0.10084491920097728,0.9705
45,0.05155925835499569,0.10070355303871717,0.9695
46,0.050113287234581125,0.09882488503400116,0.97
47,0.04874999732086724,0.0984653047729783,0.9698333333333333
48,0.04742856024088795,0.09808058361162307,0.9705
49,0.04620359764640579,0.09760739364921925,0.9703333333333334
