epoch,train_loss,val_loss,val_acc
0,0.31639907204079304,0.18283136805930994,0.9468333333333333
1,0.14337304193278,0.13460571672145413,0.961
2,0.10081799601401109,0.11298211219329471,0.9661666666666666
3,0.07467023334393129,0.10941323173560788,0.968
4,0.06017733844891135,0.10854130110324904,0.9686666666666667
5,0.047536599602743715,0.09555729281661175,0.9698333333333333
6,0.0392454479432362,0.09411936758074306,0.9708333333333333
7,0.03133049062964514,0.08852986600371611,0.9715
8,0.025367096342354175,0.10351369505799941,0.9691666666666666
9,0.020901374043755916,0.09341671631496613,0.9716666666666667
