epoch,time_s,loss,acc,val_loss,val_acc
1,22.11884379386902,0.12083866008105365,0.9607962962962963,0.11641360814687891,0.9651666666666666
2,22.00101089477539,0.06914765346242968,0.9800740740740741,0.07831752450270092,0.9786666666666667
3,21.796746253967285,0.05749101990891272,0.9822222222222222,0.07360088244498154,0.9788333333333333
4,22.522319078445435,0.044532121426934586,0.9863518518518518,0.06033258437773793,0.982
5,23.19696593284607,0.033636344131827735,0.9892407407407408,0.05275201125861782,0.9858333333333333
6,22.76285409927368,0.02823493945716492,0.9912592592592593,0.05067805163364361,0.9866666666666667
7,22.088101387023926,0.02713993053302072,0.9912037037037037,0.05323954294525193,0.9835
8,22.494997262954712,0.027962770628165316,0.9902222222222222,0.06094130071224125,0.9826666666666667
9,22.40879225730896,0.02470474436161888,0.9917962962962963,0.05842306612837784,0.984
10,22.745056867599487,0.017327133758765562,0.9942037037037037,0.05934843397049847,0.9841666666666666
